이름,영문 이름,defName,출처 모드,packageId,건축 탭,크기,칸 수,통행,전력,중력선,특징,연구,건설 비용,체력,작업량,아름다움,지형 조건,포장 가능,설명,제작 레시피 수,대표 제작품,실제 적용값(모드 설정)
장막 수정 재배기,Shroud crystal grow box,MI_Building_PsyChicCrystal,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,3x3,9,통과만,-20000 W,,조명 반경 5,Psionic Theory,"Milira_SplendidSteel 320, Milira_SunPlateSteel 60, ComponentSpacer 16, Milira_PsionicCore 1",1200,40000,400,Light,,"태양 수정을 장막 수정으로 변환하는 데 사용하는 초정신 장치입니다.\n\n장치에 내장된 초정신 코어가 베일을 조용히 뚫고 장막에서 소량의 초정신 에너지를 흡수하여, 에너지 밀도가 극도로 높은 태양 수정에 주입합니다.",,,
장막 우물,Shroud well,MI_Building_FakeShroudWell,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,7x7,49,통과만,,,조명 반경 9,Sky Elf Furniture,"Milira_SplendidSteel 600, Milira_SolarCrystal 60",800,8000,2400,Light,예,장막 우물의 복제품입니다. 진입할 수 없습니다.,,,
초능력 방출기,Psionic Emitter,Milira_PsionicCounterMeasure,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,3x3,9,통과만,-10000 W,,조명 반경 10,Psionic Broadcast,"Milira_SplendidSteel 500, Milira_SolarCrystal 25, Milira_DarkMatter 20, ComponentSpacer 10, Milira_PsionicCore 1",2400,25000,20,Light,,"초능력 코어가 장착되고 초월공학 장치로 구성된 첨단 장비입니다. 현재 지역의 정신 파동 효과를 정화할 수 있습니다.\n\n밀리라 제국의 모든 군함에는 수많은 제국 사이캐스터들의 정신을 보호하기 위해 이 장치가 탑재되어 있습니다.\n\n60초마다 파동을 방출하며, 각 파동은 다음과 같은 효과를 가집니다.\n현재 지역 내 모든 아군에게 강화 버프를 부여합니다.\n모든 정신적 상태 이상 효과를 제",,,
태양 수정 재배기,Solar Crystal Grow Box,Milira_SolarCrystalGrowBox,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,3x3,9,통과만,-2000 W,,조명 반경 3,Crystal Cultivation,"Milira_SplendidSteel 800, ComponentSpacer 12",1200,8000,200,Light,,"태양 수정은 햇살 연료와 더불어 밀리라 종족의 또 다른 핵심 에너지원입니다.\n\n이 아름다운 결정은 밀리라가 발을 딛는 은하계 곳곳으로 퍼져 나갔습니다.\n\n크레이돌의 많은 밀리라 학자들은 태양 수정이 그들을 창조한 고대 앵콧 신이 내린 선물 중 하나라고 믿습니다.\n\n오래전 밀리라 제국은 이 신성한 선물을 대량 생산할 수 있는 안정적인 방법을 발견했으며, 이를 통해 거대한 제국 함대와",,,
태양 에너지 수집/레이저 포탑,Solar energy conversion collection and laser tower,Milira_SunLightDefenceTowerII,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,3x3,9,통과만,+30 W 발전,,연결 가능 설비 1종 / 설치조건: NotUnderRoof,Sun Light Defence Tower,"Milira_SunPlateSteel 500, Milira_SplendidSteel 1200, Milira_SolarCrystal 50, ComponentSpacer 10",4800,48000,,Light,,"태양광 반사경과 연동하여 태양 에너지를 태양 연료로 변환하는 포탑입니다. 추가로 발생하는 폐열은 전기 에너지로 변환될 수 있습니다. 반드시 실외에 건설해야 합니다.\n\n레이저 결정이 장착된 이 버전은 주로 밀리라 제국 식민지에서 생산과 방어 양쪽 목적으로 설치됩니다. 다소 비싸지만 그만한 가치가 충분하며, 벽 너머로 사격이 가능합니다.",,,
태양 에너지 수집/방어 포탑,Solar energy conversion collection and defence tower,Milira_SunLightDefenceTower,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,3x3,9,통과만,+30 W 발전,,연결 가능 설비 1종 / 설치조건: NotUnderRoof,Sun Light Defence Tower,"Milira_SunPlateSteel 500, Milira_SplendidSteel 1200, Milira_SolarCrystal 50, ComponentSpacer 10",4800,48000,,Light,,태양광 반사경과 연동하여 태양 에너지를 태양 연료로 변환하는 포탑입니다. 추가로 발생하는 폐열은 전기 에너지로 변환될 수 있습니다. 반드시 실외에 건설해야 합니다.\n\n플라즈마 결정이 장착된 이 버전은 주로 밀리라 제국 식민지에서 생산과 방어 양쪽 목적으로 설치됩니다. 다소 비싸지만 그만한 가치가 충분합니다.,,,
태양 조리대,Solar stove,MI_Building_Stove,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,3x1,3,통과만,,,"열 3/초 / 작업칸 (0,0,-1)",Sky Elf Furniture,"Milira_SplendidSteel 120, Milira_SolarCrystal 20, ComponentIndustrial 10",300,2000,,Medium,예,태양 수정을 동력으로 사용하는 자가 발전 조리대입니다. 기본 작업 속도가 135%로 아주 빠릅니다. '발레리 안드레아'가 디자인했습니다.,10,"간단한 식사, 좋은 식사, 좋은 채식주의 식사, 좋은 육식주의 식사, 호화로운 식사, 호화로운 채식주의 식사, 호화로운 육식주의 식사, 보존 식량, 페미컨, 이유식",
태양꽃 열매 재배기,Sun Light Fruit Grow Box,Milira_SunLightFruitGrowBox,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,1x1,1,통과만,-100 W,,조명 반경 3,Sky Elf Furniture,"Milira_SplendidSteel 100, Milira_SolarCrystal 2",240,2000,100,Light,,"밀리라 제국 거주민들의 가정에서 흔히 볼 수 있는 재배기로, 밀리라 인들이 가장 좋아하는 태양꽃을 재배합니다.\n\n재배기 내부의 아름다운 태양꽃은 '발레리 안드레아'라는 이름의 흑발 밀리라가 개량한 품종입니다.\n\n이 온도 및 습도 조절 재배기는 정기적으로 태양꽃 열매를 수확하게 해줍니다.\n\n수확한 열매는 보통 밀리라의 요리에 사용됩니다. 뭐, 사실 요리는 가정용 밀리언들이 대신 해줍",,,
토양 수경재배 상자,Soilponics grow box,Milira_Soilponics,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,3x3,9,통과만,-2000 W,,조명 반경 6,Automatic Agriculture,"Milira_SplendidSteel 420, Milira_SunPlateSteel 40, Milira_SolarCrystal 10",1200,30000,,Light,,자동화된 토양 기반 재배 상자입니다.\n\n작물 유형을 선택하기만 하면 안정적으로 작물을 계속 생산합니다.,,,
플라즈마 근접 방어 체계,Plasma Point-Defense,MiliraImperiumTurret_PointDefense,Milira Faction: Milira Imperium,ariandel.miliraimperium,밀리라,3x3,9,통과만,,,,Predictive Algorithms,"Milira_SunPlateSteel 360, Milira_SolarCrystal 40, ComponentSpacer 5, Milira_DarkMatter 1",1560,24000,40,Heavy,,충격량이 큰 플라즈마 탄환을 연속 사격하는 자체 동력 플라즈마 자동포탑입니다.\n\n이 근접 방어 포탑은 벽을 무시하고 사거리 내의 고각 투사체를 요격할 수 있습니다. 하지만 저각 표적을 공격할 때는 벽이나 유사한 구조물에 의해 시야가 제한됩니다.,,,
밀리라 그리핀 전투기,Milira Griffin Fighter,Milira_GriffinFighter,Milira Faction: Milira Imperium,ariandel.miliraimperium,중력부양선,5x5,25,가능,,,"연료 Milira_SunLightFuel 600 / 작업칸 (0, 0, 2) / 설치조건: NotUnderRoof",Carrier Operations,"Milira_SplendidSteel 500, Milira_SunPlateSteel 120, ComponentSpacer 5, Milira_DarkMatter 5",1680,36000,,Light,,프레데터에게 자리를 물려준 구식 함상 전투기입니다. 이제는 민간용으로 전환되면서 비싼 뉴트로늄 대신 값싼 태양단강을 사용했습니다. 덕분에 가격은 저렴하지만 내구도는 다소 떨어집니다. 복잡한 화력 제어 장치도 제외되어 레이저 연사 속도가 낮고 미사일 장착이 불가능합니다. 레이저 오토캐논 2문을 장착했습니다.,,,
밀리라 에테르 드레이크 전투기,Milira Ether Drake Fighter,Milira_DragonFighter,Milira Faction: Milira Imperium,ariandel.miliraimperium,중력부양선,5x5,25,가능,,,"연료 Milira_SunLightFuel 1600 / 작업칸 (0, 0, 3) / 설치조건: NotUnderRoof",Advanced Space Superiority Fighter,"Milira_Neutronium 400, Milira_NeutroniumFabric 50, ComponentSpacer 10, Milira_DarkMatter 15",2400,72000,,Light,,제국 항공단의 핵심 기체입니다. 미사일 발사기 2문과 적의 투사체를 요격하는 레이저 점방어 시스템을 갖추고 있습니다.,,,
밀리라 와이번 전투기,Milira Wyvern Fighter,Milira_WyvernFighter,Milira Faction: Milira Imperium,ariandel.miliraimperium,중력부양선,5x5,25,가능,,,"연료 Milira_SunLightFuel 1200 / 작업칸 (0, 0, 3) / 설치조건: NotUnderRoof",Advanced Space Superiority Fighter,"Milira_Neutronium 400, Milira_NeutroniumFabric 50, ComponentSpacer 10, Milira_DarkMatter 15",2880,72000,,Light,,제국의 중전투기입니다. 보통 프레데터와 편대를 이뤄 비행합니다. 프레데터가 근접전을 벌이는 동안 빠른 속도로 우회하여 치명적인 측면 타격을 가하는 것이 주 임무입니다. 미사일 발사기 4문을 장착했습니다.,,,
밀리라 프레데터 전투기,Milira Predator Fighter,Milira_PredatorFighter,Milira Faction: Milira Imperium,ariandel.miliraimperium,중력부양선,5x5,25,가능,,,"연료 Milira_SunLightFuel 1200 / 작업칸 (0, 0, 3) / 설치조건: NotUnderRoof",Advanced Space Superiority Fighter,"Milira_Neutronium 300, Milira_NeutroniumFabric 50, ComponentSpacer 10, Milira_DarkMatter 10",2400,72000,,Light,,"제국의 표준 전투기입니다. 플라즈마 추진기로 수직 이착륙이 가능합니다. 이륙할 때만 태양 연료를 소량 소모하며, 이후에는 내장된 암흑 물질 셀로 비행합니다. 레이저 오토캐논 2문과 미사일 발사기 2문을 장착했습니다.",,,
드론 충전기,drone recharger,Milira_DroneRecharger,Milira Race,ancot.milirarace,기타,1x1,1,통과만,-60 W,,"작업칸 (0,0,-1)",Drones,"Milira_SplendidSteel 40, ComponentIndustrial 4",280,12000,,Light,예,드론을 충전하는 시설입니다.,,,
태양 에너지 변환 포집탑,Solar energy conversion collection tower,Milira_SunLightGatheringTower,Milira Race,ancot.milirarace,기타,3x3,9,통과만,+30 W 발전,,연결 가능 설비 1종 / 설치조건: NotUnderRoof,Molten-Salt Energy Station,"Plasteel 225, Steel 750, Milira_SolarCrystal 30, ComponentSpacer 5",4500,48000,,Light,,"태양광 반사판을 통해 포집한 태양 에너지를 집약해, 태양 연료로 변환하는 용융염 장치입니다. 추가로 변환 절차에서 발생한 폐열이 전력으로 치환됩니다. 야외에 배치해야 합니다.",,,
태양 용광로 가속기,Sunblast furnace booster,Milira_SunBlasterBoosterJar,Milira Race,ancot.milirarace,기타,1x1,1,통과만,,,연결 설비 [WorkTableWorkSpeedFactor 0.10],Solar Furnace,"Milira_SunPlateSteel 125, ComponentSpacer 2",100,1800,,Light,예,태양 용광로의 연료 효율을 높여 작업 속도를 증가시키는 보조장비입니다. 한 태양 용광로는 최대 태양 용광로 가속기 두 개의 영향만 받습니다.,,,
태양광 반사판,Solar reflector,Milira_Heliostat,Milira Race,ancot.milirarace,기타,1x1,1,통과만,,,연결 설비 거리 11.4 / 설치조건: NotUnderRoof,Molten-Salt Energy Station,"Steel 50, ComponentIndustrial 1",280,2400,,Light,예,태양 에너지 변환 포집탑 근처에 배치하여 생산 및 발전 효율을 증가시키는 반사판입니다. 지붕으로 덮인 곳에 배치할 경우 비활성화됩니다.,,,
다연장 로켓 발사기,multiple rocket launcher,MiliraTurret_HeavyRocketLauncher,Milira Race,ancot.milirarace,방어,2x2,4,통과만,,,,Multiple Rocket Launcher,"Plasteel 300, Milira_SunPlateSteel 150, Milira_SolarCrystal 30, ComponentSpacer 5, Milira_StarshipBattery 1",650,24000,-15,Heavy,,고정 포탑에 장착된 다연장 로켓 발사기입니다.,,,
밀리라 소형 이온 포탑,small ionic turret,MiliraTurret_Plasma,Milira Race,ancot.milirarace,방어,1x1,1,통과만,,,,Ionic Weapon,"Plasteel 100, Milira_SunPlateSteel 25, Milira_SolarCrystal 5, ComponentSpacer 1, Milira_SunLightFuel 100",150,6000,-15,Heavy,,방어구를 융해시키는 입자 광선을 발사하는 자가 발전 소형 이온 포탑입니다.,,,
밀리라 인력 함정,milira gravity trap,Milira_TrapAttractive,Milira Race,ancot.milirarace,방어,1x1,1,가능,,,,"IEDs, Field Trap","Milira_SplendidSteel 20, Milira_SunLightFuel 10",40,1400,-4,Light,예,작동 시 자신을 중심으로 넓은 영역에 즉시 인력장을 형성하는 함정입니다.,,,
밀리라 중형 입자 캐논 포탑,heavy particle cannon turret,MiliraTurret_HeavyParticle,Milira Race,ancot.milirarace,방어,2x2,4,통과만,,,,Heavy Ionic Weapon,"Plasteel 300, Milira_SunPlateSteel 150, Milira_SolarCrystal 30, ComponentSpacer 5, Milira_StarshipBattery 1",650,24000,-15,Heavy,,지속적으로 강력한 충격 입자를 발사하는 자가발전 중형 입자 캐논 포탑입니다.,,,
밀리라 척력 함정,milira repulsion trap,Milira_TrapRepulsive,Milira Race,ancot.milirarace,방어,1x1,1,가능,,,,"IEDs, Field Trap","Milira_SplendidSteel 20, Milira_SunLightFuel 10",40,1400,-4,Light,예,작동 시 자신을 중심으로 넓은 영역에 즉시 척력장을 형성하는 함정입니다.,,,
중형 전자기 캐논 포탑,heavy electromagnetic cannon turret,MiliraTurret_HeavyRailGun,Milira Race,ancot.milirarace,방어,2x2,4,통과만,,,,Railgun,"Plasteel 300, Milira_SunPlateSteel 150, Milira_SolarCrystal 30, ComponentSpacer 5, Milira_StarshipBattery 1",650,24000,-15,Heavy,,고속 전자기탄을 발사하는 자가발전 중형 전자기 캐논 포탑입니다.,,,
중형 플라즈마 포탑,heavy plasma turret,MiliraTurret_HeavyPlasma,Milira Race,ancot.milirarace,방어,2x2,4,통과만,,,,Heavy Ionic Weapon,"Plasteel 300, Milira_SunPlateSteel 150, Milira_SolarCrystal 30, ComponentSpacer 5, Milira_StarshipBattery 1",650,24000,-15,Heavy,,방어구를 융해시키는 충전 플라즈마를 발사하는 자가발전 중형 플라즈마 포탑입니다.,,,
밀리언 배양기,milian gestator,Milian_Gestator,Milira Race,ancot.milirarace,생명공학,3x2,6,통과만,-350 W,,"작업칸 (0,0,2)",Milian Gestator,"Milira_SplendidSteel 350, Milira_SunPlateSteel 45, ComponentIndustrial 8",450,16000,,Light,,밀리언의 배양 및 소생에 사용되는 장비입니다.,20,"폰 I, 폰 II, 가드, 캡틴, 나이트 I, 나이트 II, 아웃라이더, 팔라딘, 비숍 I, 비숍 II, 집정관, 카디널, 룩 I, 룩 II, 스트라이커, 이터널 포트리스, 폰 밀리언 모델 소생, 나이트 밀리언 모델 소생, 비숍 밀리언 모델 소생, 룩 밀리언 모델 소생",
밀리언 충전기,Milian Energy Station,Milian_Recharger,Milira Race,ancot.milirarace,생명공학,1x1,1,통과만,-240 W,,"작업칸 (0,0,0)",Milian Power Station,"Milira_SplendidSteel 150, Milira_SunPlateSteel 25, Milira_SolarCrystal 8, ComponentIndustrial 3",280,12000,,Light,예,밀리언의 충전에 사용되는 장비입니다.,,,
밀리라 드론 인쇄기,Milira drone printer,Milira_DroneBench,Milira Race,ancot.milirarace,생산,1x1,1,통과만,-120 W,,"작업칸 (0,0,-1)",Drones,"Milira_SplendidSteel 120, Milira_SolarCrystal 2, ComponentIndustrial 8",420,9000,,Medium,예,드론 인쇄용으로 사용되는 플랫폼입니다.,23,"화물운송 유닛 조립, 청소기 유닛 조립, 저장 유닛 조립, 밀리라 전투 드론: 펄스탄, 밀리라 전투 드론: 소이탄, 밀리라 전투 드론: 섬광탄, 전투 드론: 충격 입자, 전투 드론: 산탄 입자, 전투 드론: 장거리 입자, 전투 플랫폼: 에너지 거품 보호막, 전투 드론: 4연장 로켓 발사기, 전투 드론: 미니건, 전투 플랫폼: 메카 제어 유닛, 소형 플로트 유닛팩, 보호막 플로트 유닛팩, 강습 드론: 말쿠트, 강습 드론: 게부라, 강습 드론: 케테르, 강습 드론: 티페레트, 드론 탑재 장구 I, 비시노에 부유 유닛 팩, 아크 부유 유",
밀리라 범용 작업대,Milira print workbench,Milira_UniversalBench,Milira Race,ancot.milirarace,생산,2x1,2,통과만,-360 W,,"작업칸 (1,0,-1)",Universal Workbench,"Plasteel 120, Milira_SolarCrystal 8, ComponentIndustrial 16",420,9000,,Medium,예,거의 모든 물품을 만들 수 있는 통합 소재 프린터를 갖춘 다재다능한 작업대입니다.,112,"광휘강, 중력격자 합금, 중력격자 비단, 사이코룩스 결정, 과부하 결정, 기적 결정, 고에너지 물질 단위, 번화계 약품, 반발 수류탄 벨트, 중력 수류탄 벨트, 소형 플로트 유닛팩, 보호막 플로트 유닛팩, 밀리라 소형 축전지, 밀리라 확장 축전지, 밀리라 원자력 축전지, 밀리라 에너지 응집기, 밀리라 에너지 응집기 M2, 밀리라 에너지 응집기 M3, 밀리라 초연산팩, 밀리언 경량 방탄갑옷, 밀리언 가드 갑옷, 밀리언 방탄 망토, 밀리언 피벗 망토, 밀리언 사일런트 헌터 망토, 밀리언 레인저 갑옷, 밀리언 가디언 갑옷, 밀리언 스토커",
밀리라 재단 작업대,Milira tailor workbench,Milira_TailoringBench,Milira Race,ancot.milirarace,생산,2x1,2,통과만,-240 W,,"작업칸 (1,0,-1)",Milira Tailor Bench,"Plasteel 80, Milira_SolarCrystal 4, ComponentIndustrial 10",420,9000,,Medium,예,깃털 원단을 인쇄할 수 있는 재단 작업대를 만들 수 있습니다.,41,"깃털 원단, 밀리라 개척자 주머니, 밀리라 전통복 (A형), 밀리라 전통복 (B형), 밀리라 전통복 (C형), 밀리라 대학 교복 (A형), 밀리라 대학 교복 (B형), 밀리라 우아한 가운, 밀리라 검은색 밀착형 드레스, 밀리라 캐쥬얼 의상, 밀리라 코르셋 치마, 밀리라 코르셋 드레스, 밀리라 하이웨이스트 주름치마, 밀리라 여행자 망토, 밀리라 여행복, 밀리라 사냥꾼 옷, 밀리라 차양 모자, 밀리라 솜털 베레모, 밀리라 선글라스, 밀리라 선글라스 (머리), 밀리라 안경, 밀리라 여행자 후드, 밀리라 사냥꾼 모자, 밀리라 위상 통신 배",
불안정한 반응로,Unstable reactor vessel,Milira_UnstableReactor,Milira Race,ancot.milirarace,생산,1x1,1,통과만,,,연료 Milira_SunLightFuel 50,Informal Smelting of the Solar-Forged Steel,"Steel 45, Plasteel 100, Uranium 20",100,6000,-10,Light,예,"원시적인 태양단강 제련에 사용되는 반응로입니다. 태양 연료를 공급하면 반응이 시작되며, 반응 과정에서 폭발이 발생합니다.",,,
태양 용광로,milira sunblast furnace,Milira_SunBlastFurnace,Milira Race,ancot.milirarace,생산,3x2,6,통과만,,,"조명 반경 17.9 / 연료 Milira_SunLightFuel 200 / 연결 가능 설비 1종 / 연결 설비 / 작업칸 (0,0,-1)",Solar Furnace,"Milira_SunPlateSteel 125, Plasteel 225, ComponentSpacer 8",2800,120000,,Medium,예,밀리라들이 사용하는 첨단 갑옷 및 무기를 단조하는 데 사용되는 용광로입니다.,110,"태양단강, 독성 폐기물, 플라즈마 충격 수류탄 벨트, 밀리라 프로토타입 기어: 사이클롭스, 밀리라 발키리 갑옷, 밀리라 아르테미스 갑옷 (강습형), 밀리라 아르테미스 갑옷 (수호형), 밀리라 다이달로스 갑옷, 밀리라 발키리 투구, 밀리라 다이달로스 왕관, 밀리라 아르테미스 눈, 밀리라 다이달로스 날개, 강철, 태양단강, 광휘강, 밀리라 함선 축전지, 밀리라 랜스, 밀리라 대낫, 밀리라 전투망치, 밀리라 대검, 밀리라 창, 밀리라 검, 플라즈마 권총, 플라즈마 소총, 플라스마 기관단총, 플라즈마 캐논, 플라즈마 점사 기관총, 플라즈마",
안정된 태양 연료 배터리,stable solar fuel battery,Milira_StableSunLightFuelBattery,Milira Race,ancot.milirarace,전력,1x1,1,통과만,+600 W 발전,,조명 반경 1,Sunlight Power Generator,"Milira_SplendidSteel 180, Milira_StarshipBattery 1, ComponentIndustrial 2",220,2500,2,Light,예,"몹시 안정적인 상태의 반영구적으로 연소하는 연료 전지입니다. 견고한 외부 케이스와 정교하게 제어되는 반응 규모 덕분에, 손상을 입어도 폭발에 대한 저항력이 매우 높습니다.",,,
태양 발전기,Solar fuel power generator,Milira_SunLightFuelPoweredGenerator,Milira Race,ancot.milirarace,전력,2x2,4,통과만,+1500 W 발전,,연료 Milira_SunLightFuel 10.0 / 조명 반경 6 / 열 6/초,Sunlight Power Generator,"Steel 100, Milira_SolarCrystal 4, ComponentIndustrial 4",300,2500,-20,Medium,,태양 연료를 사용해 전기를 생산하는 태양 발전기를 만들 수 있습니다.,,,
밀리라 해리어 전투기,milira harrier fighter,Milira_HarrierFighter,Milira Race,ancot.milirarace,중력부양선,3x3,9,가능,,,"연료 Milira_SunLightFuel 100 / 작업칸 (0, 0, -2) / 설치조건: NotUnderRoof","Force Field Aerocraft, Focused Particle Corridor","Milira_SplendidSteel 280, Milira_SunPlateSteel 60, ComponentIndustrial 35, Milira_StarshipBattery 1",400,36000,,Light,,"추진을 위해 역장 기술을 사용하는 수직 이착륙이 가능한 소형 전투기입니다. 이륙 시 소량의 태양 연료를 소모하지만, 이륙 후에는 내장된 연료 전지만으로 기동할 수 있습니다.\n\n두 개의 입자 자동 기관포가 장착되어 있으며, 발사 당 0.05의 태양 연료를 소모합니다.",,,
복제된 신성 봉인,Replica Divine Seal,PLAMilira_God_Tower_Player,Milira:Wings of Democracy,sleepycot.wingsofdemocracy,기타,3x3,9,불가,,,조명 반경 5,"""Divine Seal""","Plasteel 20, Milira_SplendidSteel 135",500,,230,Light,예,"밀리라의 순백색 탑을 모델로 한 조각상입니다. 방사능 0%를 보장합니다. 침실이나 거실용 장식품으로 훌륭하며, 특정 괴짜들의 명상 요구치를 충족시켜 주기도 합니다.\n\n근데... '통합' 추종자가 아니고서야 누가 이걸 집에 두겠어요?",,,
"""성가 오르간"" 전자기 저격포","""Hymn Organ"" Electromagnetic Sniper Cannon",PLAMilira_Organ_Base,Milira:Wings of Democracy,sleepycot.wingsofdemocracy,방어,2x2,4,통과만,,,조명 반경 3.4,Aerospace Citadel Defenses,"Plasteel 300, Milira_SunPlateSteel 150, Milira_SolarCrystal 30, ComponentSpacer 5, Milira_StarshipBattery 1",650,24000,-15,Heavy,,"군집 연산 강화 유닛이 통합된 개량형 전자기포 포탑입니다. 기본 피해량과 장갑 관통력은 약간 낮지만, 주변에 밀리라 포탑이 많을수록 성능이 향상됩니다.\n\n반경 5칸 이내의 밀리라 포탑 하나당 피해량이 15%(최대 75%), 관통력이 25%(최대 150%) 증가합니다.",,,
"""스피닝 바스타드"" 하이브 대공 미사일 포탑","""Spinning Bastard"" Hive Anti-Air Missile Turret",PLAMilira_AntiAirMissile_Base,Milira:Wings of Democracy,sleepycot.wingsofdemocracy,방어,2x2,4,통과만,,,연료 Milira_SunLightFuel 200,"Aerospace Citadel Defenses, Cluster Warheads","Plasteel 300, Milira_SunPlateSteel 150, Milira_SolarCrystal 30, Milira_SunLightFuel 100, ComponentSpacer 5, Milira_StarshipBattery 1",650,24000,-15,Heavy,,공중 군집 유닛을 상대하는 데 특화된 포탑입니다. 표적을 포착하면 3발의 하이브 미사일을 순차적으로 발사합니다. 미사일은 정점에서 분리되어 표적 구역에 최대 10개의 작은 자탄을 방출합니다.\n\n비행 유닛에게 두 배의 피해를 입힙니다.\n\n미사일을 발사하여 해리어 항공기를 격추할 수 있습니다. 발사당 태양광 연료 10을 소모합니다.,,,
"""엘레우시스 밀교"" 중화력 보병 지원 플랫폼","""Eleusinian Mysteries"" Heavy Firepower Infantry Support Platform",PLAMilira_Gatling_Base,Milira:Wings of Democracy,sleepycot.wingsofdemocracy,방어,2x2,4,통과만,,,,Aerospace Citadel Defenses,"Plasteel 350, Milira_SunPlateSteel 175, Milira_SolarCrystal 40, ComponentSpacer 10, Milira_StarshipBattery 1",800,24000,-15,Heavy,,"알 수 없는 유물 기술을 바탕으로 밀리라가 개발한 중화력 보병 지원 플랫폼으로, ""악소의 그릇""을 업그레이드한 형태입니다. 두 문의 호신용 이온 기관총과 플라즈마 광선을 발사하는 주포 ""아스프의 지팡이""을 갖추고 있으며, 로켓 발사기를 이용한 장거리 화력 지원도 제공합니다.\n\n내구도가 50% 이상일 때 광선은 추가로 실명 효과를 입히며, 장거리 지원을 위해 독가스 수류탄을 투척할 수 있습",,,
"""오로라"" 요격기","""Aurora"" Interceptor",Aurora_Interceptora,Milira:Wings of Democracy,sleepycot.wingsofdemocracy,방어,2x2,4,통과만,,,연료 Milira_SunLightFuel 1200,Laser Interception,"Plasteel 150, Milira_SunPlateSteel 100, Milira_SolarCrystal 15, ComponentSpacer 5, Milira_SunLightFuel 100, Milira_StarshipBattery 1",400,12000,-10,Heavy,예,"대규모 배치를 위해 밀리라가 전개한 실험용 레이저 요격 체계입니다. 반경 15칸 내의 투사체를 포착하여 초고속 요격 광선을 발사합니다. 함선급 통합 배터리를 갖추고 있으나, 레이저 방출기를 유지하려면 여전히 태양광 연료가 필요합니다.\n\n해리어 전투기의 폭격 투하물을 요격할 수 있습니다.\n배터리 소모량은 요격된 투사체의 피해량에 비례합니다. (피해량 5당 배터리 1유닛 소모)\n대부분의 ",,,
노바 스피어,Nova Sphere,Milira_Nova_Sphere,Milira:Wings of Democracy,sleepycot.wingsofdemocracy,방어,1x1,1,통과만,,,,"Aerospace Citadel Defenses, Advanced Thermal Weapons, Thermal Accumulation Theory","Plasteel 150, Milira_SunPlateSteel 40, Milira_SolarCrystal 10, ComponentSpacer 2, Milira_SunLightFuel 150",250,9000,-15,Heavy,,"밀리라의 정밀 레이저 진형 체계입니다.\n\n기계 제국의 기술을 역설계하여 제작되었으며, 조준된 표적에게 회피가 거의 불가능한 고온 레이저 광선을 치명적인 정확도로 발사합니다.\n\n장갑을 열로 관통할 수 있습니다.",,,
밀리라 나글파르급 행성 파괴자 - 고물,Milira Naglfar-class Star Destroyer - Puppis,PLAMilira_Naglfar_Right,Milira:Wings of Democracy,sleepycot.wingsofdemocracy,방어,8x11,88,불가,,,조명 반경 15,Naglfar,"Plasteel 260, Milira_SunPlateSteel 130, Milira_SplendidSteel 500, Milira_SolarCrystal 46, ComponentSpacer 14, Milira_StarshipBattery 2",8500,72000,100,Light,,"미완성된 밀리라 나글파르급 행성 파괴함의 일부입니다. 레일건 유도 전파 탐지기 하나와 두 문의 하이브 미사일 발사기를 갖춘 고급 이지스 방어 체계를 탑재하고 있습니다.\n\n나글파르급 지휘 체계와 연동할 수 있습니다.\n\n궁극의 에너지 소산 장갑 도금을 입혀 단일 피해가 750을 초과하지 않도록 방지하며, 200 이상의 피해는 1초마다 단 한 번만 받도록 제한합니다. (이 기능은 모드 설정",,,
밀리라 나글파르급 행성 파괴자 - 돛,Milira Naglfar-class Star Destroyer - Vela,PLAMilira_Naglfar_Middle,Milira:Wings of Democracy,sleepycot.wingsofdemocracy,방어,20x11,220,불가,,,조명 반경 15,Naglfar,"Plasteel 650, Milira_SunPlateSteel 325, Milira_SplendidSteel 1250, Milira_SolarCrystal 115, ComponentSpacer 35, Milira_StarshipBattery 3",12500,180000,100,Light,,"미완성된 밀리라 나글파르급 행성 파괴함의 일부입니다. 나글파르의 주 사격 통제 핵심부 역할을 하며, 충격 관통포 한 문과 탄도 상의 표적을 꿰뚫는 근접 방어용 입자 기관총 네 문을 갖추고 있습니다.\n\n나글파르급 지휘 체계와 연동할 수 있습니다.\n\n궁극의 에너지 소산 장갑 도금을 입혀 단일 피해가 750을 초과하지 않도록 방지하며, 200 이상의 피해는 1초마다 단 한 번만 받도록 제한",,,
